,Randomness,Tail-Free,Nucleus,Grammar/Style/Spelling,Readability Grade,Glue Index,Raw,Rand_cent,TFS_cent,Nuc_cent
86,0.2,0.6,1.0,91.0,3,44.0,"The corridor outside was dimly lit by a few emergency lights, but she could see well enough to navigate without bumping into anything. The air smelled stale and dry, like dust and rust. She passed the dormitories, where colonists slept in their beds, and continued on toward the mess hall.

She paused at the entrance to the cafeteria, looking around for familiar faces. Most of the colonists were already there, eating breakfast and chatting quietly among themselves. A few glanced up from their meals as she entered, but no one spoke to her.

Nora took a seat near the back, next to the wall. She ordered a bowl of cereal and a glass of water, then dug into her meal while she waited for it to arrive.

A few minutes later, a young man with dark hair and eyes approached Nora's table. He was tall and lean, wearing a loose black shirt over a pair of faded jeans. His face was angular and handsome, and his smile was warm and friendly.

""Hey, Nora,"" he said. ""I'm Tom.""

Nora nodded in greeting. ""Tom. I'm new here. What do you do?""

He shrugged. ""I'm an engineer. I work on the farms and in the hydroponic greenhouses. You?""

""Administrator. Sully Carmichael is my boss.""

""Oh, yeah. I've heard about him. He's a good guy. How long have you been here?""

Nora hesitated. She didn't want to talk about herself, but she couldn't help it. ""About six months.""

""Wow. That's a long time. You must be pretty tired of this place. It gets old after a while, doesn't it? But hey, at least you get paid for it.""

Nora smiled wryly. ""Yeah. At least I get paid.""

Tom laughed. ""You're not kidding. I hear the Company's a real piece of work.""

""It can be.""

""I guess it has its perks. Hey, I'm sorry I haven't introduced myself yet. My name's Tom.""

Nora shook his hand. ""Nice to meet you. I'm Nora. Nice to meet you too.""

Tom nodded and sat down across from her. He glanced around the cafeteria, then leaned in close. ""So what do you think of our little colony so far?""

Nora shrugged. ""I don't know much about it. I've only been here for a few months.""

""Well, we're pretty isolated out here. We're on the edge of settled space. The nearest city is over two hundred light years away. And there's nothing else for hundreds of miles.""

Nora frowned. ""What are you talking about? There's got to be something else out here. Why would anyone live out here?""

""The Company owns this planet. They built the colony. They own everything here."" Tom paused, then added, ""And they're not very nice people.""

""Why not?""

Tom sighed. ""They've been trying to get rid of us for a long time. But we keep coming back."" He looked at Nora. ""You know why? Because we have nowhere else to go.""

Nora nodded slowly. ""I guess so.""

Tom leaned closer, lowering his voice. ""Listen, I know you're new here and you probably don't know anything about the Company. But trust me, it's not worth your life. They'll kill you if they can.""

",-0.2719387755102038,-0.10795918367346857,0.01612244897959192
87,0.2,0.6,1.0,83.0,3,41.0,"The corridors were dimly lit by flickering lights embedded in the walls. The air smelled stale and musty, like a basement. Nora walked past rows of doors to find the mess hall.

The mess hall was a long room filled with tables and chairs. A few colonists sat at the tables, eating and talking quietly. Others stood around the room, waiting their turn to eat. Nora took a seat at one of the empty tables. She was hungry enough that she didn't mind waiting for her food.

A young man with dark hair and brown eyes approached her table. He wore a white uniform with a black tie, but his sleeves were rolled up to reveal muscular forearms. Nora recognized him as the colony's chief engineer, Jules.

""Good morning,"" he said with a smile. ""I'm sorry I overslept.""

Nora nodded. ""It's okay. You're not the only one who needed it. How are you feeling?""

Jules shrugged. ""Fine. Just a little tired. We've been working hard, and we haven't had much sleep lately. But I'll be fine. It's just a matter of getting used to the schedule again.""

Nora smiled back. ""You'll get there. I know how tough this is for everyone.""

He nodded, then turned to look at the other colonists. ""Okay, everybody! Breakfast is served!""

The colonists began filing into the mess hall. Nora followed them in and took a seat near the front. The room was filled with a low murmur of conversation and clinking utensils.

A young woman with blonde hair and blue eyes sat down across from Nora. She wore a white lab coat over a long sleeved shirt, which was tucked into her pants. Her name tag read Dr. Kaitlin.

""Good morning,"" Nora said to her. ""I'm Nora.""

Kaitlin nodded. ""Nice to meet you, Nora. I'm Kaitlin.""

Nora smiled at the doctor. ""How are you feeling?""

Kaitlin shrugged. ""Tired. But I'll be fine.""

Nora nodded. ""We're all tired. We've been working hard. And we haven't had much sleep lately.""

""Yeah,"" Kaitlin said with a sigh. ""I know what you mean. I'm just glad to have my shift off today. It's going to take me awhile to get used to the schedule again.""

Nora nodded. ""It'll get easier. You'll see. Everyone will.""

Kaitlin smiled. ""Thanks, Nora. That means a lot to hear. I'll be here if you need anything.""

Nora waved and turned back to her food. She ate quickly, then stood up. ""I should go check on the equipment.""

Kaitlin nodded. ""Good idea. See you later, Nora.""

Nora left the mess hall and walked down the corridor toward engineering. The corridors were dimly lit with flickering lights embedded in the walls. Nora passed rows of doors to find the engineering bays.

The engineering bay was a large room filled with workstations and machinery. A few colonists worked at their stations, but most sat around talking quietly or reading books.

Nora found her way to the power plant. She stepped into a small office next to it.

",-0.2719387755102038,-0.10795918367346857,0.01612244897959192
88,0.2,0.6,1.0,80.0,4,45.0,"The colony's central corridor was dimly lit by overhead lights. The walls were lined with doors, each one leading to a different room. A few colonists passed her in the hall, but they gave her only a cursory glance.

She walked briskly down the hallway, past the dormitories, toward the cafeteria. As she approached, the smell of fresh coffee wafted from the kitchen. Nora slowed her pace to savor the aroma, then continued on at a more leisurely pace.

The cafeteria was a large open space with long tables and benches. It had been designed to accommodate the entire colony, but the tables were rarely full. Most colonists preferred to eat their meals in the privacy of their rooms.

Nora found a table near the back corner where she could sit alone. She sat down and took a sip of her coffee, which was hot and strong. She sighed as the warmth spread through her body.

The cafeteria was quiet except for the occasional clatter of utensils and the murmur of conversation. Nora was grateful that no one else seemed to be awake yet.

She sipped her coffee, enjoying the taste, and watched the other colonists come and go. She noticed a few familiar faces among them, but most were strangers.

A young man with dark hair and eyes came in carrying a tray laden with food. He set it down on the table next to Nora's and smiled at her. ""Good morning, Nora.""

Nora returned his smile. ""Hi, Ben. How are you?""

""I'm fine,"" he said. ""How about yourself? You look tired. Are you getting enough sleep?""

Nora shrugged. ""It's hard to get used to sleeping in a bed again after being cooped up in the ship for so long.""

Ben nodded. ""You'll get used to it eventually. I know how much you hate the dormitories.""

She laughed. ""Yeah, I guess I will.""

He leaned forward and lowered his voice. ""So what do you think of the colony?""

Nora looked around the room. The cafeteria was filled with colonists, but none were close enough to hear their conversation. She took a deep breath and let it out slowly before answering. ""It's... different. It feels like we're living in a science fiction movie.""

Ben chuckled. ""That's because we are. This is the future, Nora. We've been here for years now, and we still haven't found anything that can help us grow food or make our equipment work better.""

Nora frowned. ""But there must be something! There has to be!""

""There's nothing,"" Ben said. ""We've tried everything. Every resource on this planet is gone. We have no more fuel for the fusion reactor. We don't even have enough water to keep the hydroponic farms alive.""

Nora's frown deepened. ""Then why are you still here?""

Ben shrugged. ""Because we're not alone. We have Eve. She keeps us going.""

Nora nodded. ""I know. I'm just... I wish I could do something to help. If only I had some way of fixing the power plant...""

""You're an engineer,"" Ben said. ""Fix it.""

",-0.2719387755102038,-0.10795918367346857,0.01612244897959192
89,0.2,0.6,1.0,81.0,5,50.0,"The corridor outside was dimly lit by glowing strips along the ceiling, but the lights were off in the dormitories. The hallways were empty except for a few colonists heading to work.

Nora walked briskly toward the mess hall, where she could grab something quick and get back to her duties. She passed several other colonists on the way, but none acknowledged her. They were too busy to notice.

The colony's power plant was located at the far end of the residential wing. Nora had to pass through the command center to reach it. She glanced up at the dark windows as she approached, wondering if anyone was awake in the control room.

Nora reached the door to the power plant, which was locked. A security panel beside the door flashed red when Nora touched the sensor pad. She tried again, then pressed her thumb to the scanner. The lock disengaged with a click and the door slid open.

Inside, the air was thick with heat and humidity. Nora stepped inside, blinking in the sudden brightness. She squinted into the glare, trying to see the reactor core, but the only thing she could make out was a large metal box.

Nora walked over to the nearest wall and leaned against it, breathing deeply. She felt the sweat on her face evaporate instantly as she exhaled. The air in the power plant was hot, but not unbearably so.

She turned to look at the reactor, but the light from the corridor was too bright. Instead, Nora looked around the room, taking in the details of the space. It was small and utilitarian, like everything else in the colony.

The walls were lined with conduits and cables, which ran along the floor to join up with other lines running through the ceiling. There was a single door in the far corner, which led to the garage.

Nora stepped closer to the door, peering into the darkness beyond. She could hear the faint hum of machinery, and she thought she saw a glimmer of light.

A few steps away, Nora stopped and listened. She heard nothing but her own heartbeat. The power plant was silent except for the hum of machinery.

Nora took a deep breath and stepped into the dark room. She reached out to touch the wall, but her hand passed right through it. She frowned, then touched the wall again, this time with both hands.

The wall was solid. Nora's fingers sank into the metal plates as if they were soft clay. She pulled back, confused. The wall should have been made of some kind of pliable material, not hard steel.

She looked around the room again, but there was no sign of a door or exit. Nora tried to remember how she had gotten in here, but her memory failed her.

Nora turned and walked back toward the door, trying to figure out what was going on. She felt a chill run down her spine. Something wasn't right.

Nora stepped into the corridor and closed the door behind her, locking it with another security panel. She stood in front of the door for several minutes, listening for any sounds from inside.

Nothing. Nora sighed and leaned against the wall. She didn't know where she was supposed to go next. The command center? The garage?

Nora decided to try the garage first.

",-0.2719387755102038,-0.10795918367346857,0.01612244897959192
90,0.2,0.7,1.0,83.0,3,42.0,"The halls were empty, but she could hear the sounds of other colonists waking up around her. The colony's power plant hummed, and the air smelled faintly of ozone. She passed a few people in various states of dress as she made her way to the cafeteria.

The cafeteria was a large room filled with tables and chairs. A long counter ran along one wall, where food was served. Nora walked past the line and found a table near the back corner. She sat down and waited for the automated server to deliver her meal.

A tall, slender woman with dark skin and short black hair approached from behind the counter. She wore a white lab coat over her uniform. Her name tag read Dr. S.

""Good morning, Nora,"" said the doctor. ""I'm sorry I didn't get here sooner. My shift started at six.""

Nora nodded. ""No problem. I've been awake since five. I just got up.""

Dr. S smiled. ""You're a hard worker, aren't you?""

""Yeah. I like my job.""

""That's good. We need more people who enjoy their work.""

Nora shrugged. ""I guess so.""

""Well, if you ever want to quit, let me know. I can always use an engineer with your skills.""

""Thanks. But I don't think I'll leave anytime soon.""

""Good. Then we have a lot to talk about today. How do you feel?""

""Fine.""

""Really? You look tired. Are you sure you're okay?""

""I'm fine. Just a little hungry.""

""Okay. Let's start with some blood tests then. Come this way.""

Nora followed Dr. S through the cafeteria and into a small room where several medical devices were set up on tables. The doctor took out a syringe, filled it with clear liquid from a vial, and injected Nora's arm.

""This will take only a minute,"" said Dr. S. ""Just relax.""

Nora nodded. She felt nothing but a slight prickling sensation at first, but after a few seconds her skin began to tingle. A warm feeling spread throughout her body, and she felt herself relaxing.

""That's odd,"" said the doctor. ""Your pulse is racing.""

""I'm okay?""

""Yes. You're just nervous. That's normal for someone who has never been exposed to an alien environment before.""

""Oh.""

""You'll be fine. Now, let me check your eyes.""

Nora blinked a few times to focus on Dr. S's face. Her green eyes looked back at Nora with concern. ""Are you okay?""

""Yeah.""

Dr. S nodded. ""I'm going to give you a mild sedative now. It'll help you get some rest. You should feel better once it takes effect.""

""Okay.""

Nora closed her eyes and waited for the drug to take hold. She felt a pleasant warmth spreading through her body, and her mind seemed clearer than usual.

""Good,"" said Dr. S. ""Now, let's take a look at those eyes. I want to make sure they're healthy.""

Nora opened her eyes and stared into the doctor's face. The woman was smiling gently. Nora felt calm and relaxed.

""They're fine,"" said Dr. S. ""You'll be fine.""

""Thanks.""

""You're welcome. Now, let me show you around.""

Nora followed Dr. S out of the room.

",-0.2719387755102038,-0.007959183673468595,0.01612244897959192
91,0.2,0.7,1.0,91.0,3,44.0,"The corridor outside her room was dimly lit by the glow of emergency lights. The walls were painted a dull gray, the ceiling a dark blue. A few colonists walked past her, their faces obscured by shadows.

Nora paused to check the time on her wristwatch. She was early. Her stomach growled at the thought of food. She hurried down the hall toward the mess hall, where she could grab something to eat while waiting for the others to arrive.

She passed several other colonists along the way. Most of them wore similar clothing to Nora's, but some had more colorful outfits that stood out in stark contrast to the drab surroundings. One woman was dressed in a bright red jumpsuit with a white collar, while another man wore a black suit with a silver tie.

Nora glanced up from her watch as she approached the mess hall entrance. She saw a tall, thin figure standing in the doorway. He was wearing a long coat and hat, and his face was hidden by shadow.

""Hey,"" Nora said, stopping short. ""Who are you?""

The stranger didn't answer. Instead, he stepped aside so Nora could enter the building. The door closed behind her with a click.

Nora frowned at the sound. It was too loud. She turned around and looked back out into the corridor, but the stranger wasn't there.

Nora shook her head. She'd been seeing things lately.

She entered the mess hall, which was empty except for one person sitting at a table near the far wall. Nora recognized him immediately.

""Hello, Mr. Decker."" The man's voice was deep and resonant. He stood up and removed his hat, revealing a bald head covered in a thick mat of gray hair. His eyes were dark brown, set under heavy brows.

Nora nodded to the man. ""Good morning, Dr. Taggart.""

The doctor smiled at her. ""You're early today, Nora. I thought you might be hungry.""

""I am,"" Nora replied. She sat down across from him and pulled out a chair. ""But I'm not sure what's for breakfast. Do you know?""

""Not yet,"" the doctor said. He opened his menu and scanned it. ""We'll have to wait until we get our first delivery of supplies. But I can tell you what's on the menu.""

Nora glanced at the menu. It listed a variety of foods, including eggs, bacon, sausage, hash browns, toast, pancakes, waffles, oatmeal, and cereal.

""That sounds good."" Nora looked up at him. ""What do you recommend?""

The doctor chuckled. ""Well, let's see... I think I'll try the scrambled eggs with ham and cheese.""

""Sounds great,"" Nora said. She reached for her wristwatch. ""I should get going.""

The doctor nodded, then returned to his meal.

Nora stood up. As she walked out of the mess hall, she heard a faint click behind her. She turned around and saw the door closing again.

She frowned. The sound had been too loud.

Nora hurried back down the corridor toward her quarters. Her stomach growled at the thought of food.

The door to her room was closed.

Nora pressed her ear against the metal surface. There was no sound from inside.

",-0.2719387755102038,-0.007959183673468595,0.01612244897959192
92,0.2,0.7,1.0,83.0,4,45.0,"The corridor outside her room was dimly lit by a few emergency lights. The walls were lined with doors, each one marked with a number. She walked past the first door, then the second, and the third.

The fourth door opened as she approached. A tall man stood in the doorway, dressed in a dark suit. He was lean and muscular, but not overly so. His hair was short and black, his eyes blue and sharp.

Nora stopped, staring at him. ""Commander Kern?""

""Yes."" Valentina's voice was deep and commanding.

Nora swallowed hard. She knew this woman. This was the commander of the colony, the one who had ordered her to fix a malfunctioning airlock.

""I'm sorry,"" Nora said. ""Did I... do something wrong? Did you want me to come back later?""

Valentina shook her head. ""No. You're fine. Come in.""

Nora stepped inside and closed the door behind her. She looked around, trying to get her bearings. The room was small, with a single bed pushed up against one wall and a desk and chair set up along the opposite side. A window was cut into the far wall, overlooking the cliffs and the distant stars beyond.

A few pieces of equipment were scattered about the room, including a computer terminal and several bookshelves. There was no sign of food or drink.

Nora glanced at Valentina. ""Is there anything else I can help you with?""

""Not right now."" Valentina walked over to the window, looking out. ""I've been waiting for you. The Company sent me here because they think you're the best engineer in the fleet.""

Nora's heart sank. ""They don't know what they're talking about.""

Valentina turned to face her. ""You're a good engineer. You're smart and resourceful. You're also stubborn and independent.""

""I'm not an engineer,"" Nora said.

Valentina smiled. ""But you are a mechanic. And I need someone who knows how to fix things.""

Nora stared at her. ""What do you mean?""

""The Company has some... issues with our power plant. We're having trouble keeping it running."" Valentina gestured toward the window, where the foggy morning light glinted off a nearby rock formation. ""We have a problem with one of the reactors. It's overheating and we can't get it to cool down.""

Nora frowned. ""That sounds like a mechanical issue.""

Valentina nodded. ""It is. But the Company wants us to solve it. They want you to come up with a solution.""

Nora felt her stomach drop. ""Me? I'm just a mechanic.""

""Yes, but you're the best mechanic in the fleet,"" Valentina said. ""And if anyone can figure out what's wrong with this reactor, it'll be you.""

""But..."" Nora looked at the floor. ""I don't know anything about nuclear engineering.""

Valentina smiled again. ""You'll learn.""

Nora shook her head. ""No. I won't.""

""Look, you're the only one who can fix it. The Company needs you."" Valentina stepped closer to Nora and lowered her voice. ""I've been here for a few weeks now. I know what it's like. You have to keep going.

",-0.2719387755102038,-0.007959183673468595,0.01612244897959192
93,0.2,0.7,1.0,91.0,3,45.0,"The colony's main hall was dimly lit by emergency lights, but the corridor was well-lit by a row of overhead lamps. The air smelled faintly of ozone.

Nora walked briskly toward the dining area in the center of the colony. She passed several colonists heading in the opposite direction, each one wearing their own version of a uniform. Most wore the same type of clothing Nora did, though the colors were different. Some wore dark blue coveralls with the Company logo on the chest pocket. Others wore gray jumpsuits with the Company logo embroidered on the left breast.

Nora paused at the entrance to the dining room. She looked around, taking in the scene. A few colonists sat at tables, eating from trays. They glanced up as Nora approached, then returned to their meals.

The dining room was large, with long rows of tables and chairs. The walls were lined with windows that overlooked the landscape outside. Nora could see a small lake and a rocky outcropping beyond the glass.

A tall, thin man in a black suit stood near the door, watching her approach. He had short brown hair and a neatly trimmed beard. His eyes were pale green and sharp.

""Good morning,"" he said. ""You're late.""

Nora nodded. ""I'm sorry, sir. I overslept.""

The man frowned. ""We don't have time for this. Get your tray and get back to work. You'll be busy today, so you won't need breakfast.""

Nora's stomach rumbled. She was hungry. But her shift started in half an hour.

She sighed. ""Yes, sir.""

He turned away without another word. Nora walked over to a table where two other colonists sat. They were both men in their early twenties. One wore a dark blue uniform, while the other wore gray. Both looked up as Nora approached.

""Morning,"" Nora said.

The man in gray nodded. ""Hi.""

""What are you doing here?"" the man in blue asked.

Nora shrugged. ""I was going to ask you the same thing.""

""Same answer,"" the man in gray said. ""We're on standby. We're supposed to stay here until we're needed.""

""For what?""

The man in gray shook his head. ""I don't know. I've been here since yesterday.""

Nora looked around. The dining hall was nearly empty. Most colonists were already at their jobs.

""Do you think it's aliens?"" Nora asked.

The man in blue nodded. ""I do.""

""Why?""

""Because they're not human,"" the man said. ""They don't act like humans, and they don't talk like humans. And they definitely aren't from Earth.""

Nora frowned. ""How can you tell?""

""It's obvious,"" the man in blue said. ""Look at them.""

Nora looked. She saw a tall woman with long black hair wearing a dark blue jumpsuit. A short man in a gray uniform stood next to her.

""What about them?"" Nora asked.

""They're too polite,"" the man said. ""Humans are always rude.""

Nora nodded. ""That's true.""

""And look how they dress,"" the man in blue added. ""Humans wear clothes. Aliens don't.""

Nora looked again. The aliens wore loose clothing made of thin fabric. It hung loosely on their bodies, but didn't seem to be designed for any specific purpose.

""What do you think they're doing here?"" Nora asked.

The man shrugged.

",-0.2719387755102038,-0.007959183673468595,0.01612244897959192
94,0.2,0.7,1.0,68.0,7,42.0,"The colony's central power plant hummed along in the background like a giant engine. The air was cold, but not uncomfortably so. Nora walked past the dormitories to the command center where she could access the main concourse.

The colonists' living spaces were arranged around the central concourse, which connected the command center, laboratories, greenhouses, and power plant. Nora passed through the large, open space, which was filled with people working, eating, exercising, or relaxing. She made her way to the cafeteria at the far end of the concourse.

She entered the cafeteria, which was packed with people. Nora took a seat at one of the long tables, where she found her usual place. A few minutes later, the automated food dispenser delivered a tray of steaming hot coffee, a bowl of oatmeal, a plate of eggs, and a small loaf of bread.

Nora dug into her breakfast, which tasted wonderful after a night of sleep. She ate quickly, then washed it down with more coffee.

After finishing, Nora stood up and stretched. Her muscles ached from the hard work she'd done yesterday, but she felt better than when she woke.

""Good morning,"" Nora said to the room. ""I'm glad you're all awake.""

A chorus of greetings greeted Nora's words, and she smiled in response. The colonists were a friendly bunch who enjoyed each other's company. They had no idea what they were getting into.

Nora walked out of the cafeteria and headed for the laboratories, where she would begin her shift. She passed through the command center, which was filled with Company executives monitoring their colony. Nora knew most of them by name, but she didn't know any of the faces behind the screens.

The corridors leading to the laboratories were dimly lit and empty. Nora stepped inside, shut the door, and locked it.

She turned on the lights and began setting up her tools.

Nora worked alone, which suited her just fine. She preferred working alone anyway. It gave her more time to think about the problems she faced.

Nora was an engineer. She specialized in troubleshooting and repairing equipment. Her job wasn't glamorous, but it paid well. Nora liked the challenge of solving complex technical problems.

Her workstation consisted of a large table with a flat surface, several chairs, and a small desk. A computer monitor sat on the desk. On the wall beside the desk hung a map of the colony. Nora's workspace was in one of the labs, which were located at the far end of the concourse.

Nora set up her tools and began checking the diagnostics of the colony's power plant. She checked the fusion reactor, the automated systems, and the communications network.

The colonists' advanced technology was impressive, but it also broke down often enough to show it. Nora spent hours each day fixing the equipment. Her job required her to be creative and resourceful.

Nora had been working on the problem for nearly two days when she heard the sound of footsteps approaching from outside. She looked up and saw a man enter the lab.

""Hello,"" he said. ""I'm Sully Carmichael.""

Nora stood and extended her hand. ""Nice to meet you, Mr. Carmichael.""

Sully shook Nora's hand. He was a tall, broad-shouldered man with a friendly smile and a warm handshake.

",-0.2719387755102038,-0.007959183673468595,0.01612244897959192
95,0.2,0.7,1.0,79.0,3,46.0,"The dormitory hallways were empty. The colonists had already left for work. Nora passed a few other people, but none stopped to talk. She was alone in the hallway.

Nora walked briskly toward the cafeteria, where she could grab something quick and get back to work. Her boots clomped on the metal flooring as she strode along the corridor. A few paces later, the sound of her boots changed to a soft padding that echoed off the walls.

Nora froze.

She heard the footsteps again. They came from behind her.

Nora turned around slowly, trying to see through the dimness. She couldn't tell what was making those sounds.

The footsteps drew closer.

Nora's heart pounded in her chest as she backed up. She felt like a trapped animal.

A hand gripped her shoulder. Nora gasped and spun around, ready to fight. But the person who grabbed her wasn't human.

The creature was tall, with a lean build and dark skin. Its face was covered in thick black fur and its eyes were large and round. It wore a long, loose robe of some kind of fabric. The garment hung loosely over the creature's shoulders and trailed down to the floor.

Nora stared at it in shock. She'd never seen anything like this before.

The creature looked back at her, then let go of Nora's shoulder. It stepped forward into the dim light of the hallway. Nora took a step backward.

""Hello,"" said the creature. ""I am Dr. Zafir.""

Nora blinked. She didn't know what to say. Her mind raced for something intelligent to say.

Dr. Zafir smiled. ""You are very quiet. I can understand that. You must be new here.""

Nora nodded.

""My name is Nora Decker. I'm an engineer.""

""Yes, I see. And you're new to the colony?""

""That's right. I just arrived yesterday.""

""Ah, yes. The Company sent you out here, did they? Well, welcome to Presley's Promise. We have been waiting for you.""

Nora frowned. ""Waiting for me?""

""Yes. We've been expecting you.""

""Expecting me... for what?""

""For a long time now. For many years. The Company has been waiting for someone like you. Someone who could help us.""

Nora stared at the creature in confusion. ""Help you how?""

""We need your expertise, Nora. Your engineering skills. You will work with me.""

Nora's eyes widened. She shook her head. ""No. No, I don't want to do that.""

Dr. Zafir smiled again. ""You won't have a choice. You'll be working for me.""

Nora felt like screaming. Instead, she turned around and ran back down the hallway toward her quarters.

She slammed into the door to her room and threw it open. Her bed was empty.

The creature from the hall stood outside Nora's door, watching her run away. It raised one hand and waved at her. ""Goodbye, Nora.""

Nora stopped running. She looked back over her shoulder. The creature had vanished.

Nora stared at the closed door for a moment before turning around.

",-0.2719387755102038,-0.007959183673468595,0.01612244897959192
96,0.2,0.7,1.0,81.0,4,43.0,"The hallways were dimly lit by the same distant starlight that illuminated the landscape outside. The air smelled faintly of ozone and dust, but otherwise seemed fresh. A few colonists walked past her, their faces obscured in shadow.

The colony's communal dining area was a long, narrow room with tables set up along the walls. At one end, a large window looked out over the rocky terrain. Nora passed through the room and headed for the kitchen at the far end of the hall.

She found the kitchen bustling with activity. Several people worked together to prepare food. Nora paused to watch them work, taking note of the way they moved and the efficiency with which they worked. She was impressed.

Nora entered the kitchen, where a woman in a white lab coat stood behind the counter. Her hair was short, dark brown, and cut close to her head. She wore thick glasses and had a small nose and chin. Nora guessed that the woman must be Director Chen.

""Good morning, Nora,"" said the director. ""I trust you slept well?""

""Yes, ma'am.""

Director Chen smiled. ""You're looking good this morning. I'm glad to see it. You've been working hard lately. We need your help. Now, let's get started. Breakfast is ready. Come with me.""

Nora followed the director into a large, brightly lit room. The walls were lined with shelves holding rows of glass jars filled with various liquids. A few other colonists sat around tables eating breakfast.

The director led Nora to one of the tables. She took a seat and waited while the director served her.

Nora stared at the food on her plate. It looked like some kind of processed meat. She wrinkled her nose in disgust.

""What's wrong, Nora?"" asked Director Chen. ""Don't tell me you don't eat meat. I know for a fact that you do. You're not squeamish about it, are you?""

Nora shook her head. ""No, ma'am.""

""Good. Then you'll be fine with this."" Director Chen picked up a fork and speared a chunk of the gray meat. She held it out to Nora. ""Try it.""

Nora hesitated, then reached for the fork. She bit into the gray meat with a crunch. It was tough, but tasted like beef jerky.

Director Chen watched Nora chew. ""It's good,"" she said. ""I'm glad to see you're willing to try new things. Now, let's get back to work.""

Nora swallowed the last bite of the gray meat and washed it down with a swig from her water bottle. She followed the director back through the kitchen.

Nora found herself working alongside several other colonists in an area where they were assembling parts for various pieces of equipment. The colonists worked together efficiently, their hands moving quickly over the components. Nora took note of how well they coordinated.

She glanced around at the others. They were all young men and women, most of them in their twenties or thirties. Most of them wore utility pants and shirts like Nora's. Some had jackets. All of them wore boots.

Nora felt a pang of envy. She wanted to be one of those people. She wanted to have the confidence and the self-assurance that came with being able to wear clothes like theirs. But she knew it wasn't possible.

",-0.2719387755102038,-0.007959183673468595,0.01612244897959192
97,0.2,0.7,1.0,72.0,4,45.0,"The corridor outside her room was dimly lit by a few lights set high up in the walls, but she could see well enough to navigate without tripping over anything. The colony's layout was simple and straightforward, with hallways running perpendicular to each other at right angles. Each hallway had a single door on either side of it.

Nora walked briskly down the main concourse, past the command center where the Company executives lived, and toward the cafeteria. She passed the dormitories and the laboratories. At the end of the long corridor was the power plant.

The cafeteria was a large open space with tables and chairs arranged in rows. Nora entered the cafeteria, which was filled with colonists eating breakfast. She spotted her friend, Dr. Chen, sitting alone at one of the tables near the back. Nora waved to get her attention.

Dr. Chen looked up from her meal and smiled. ""Good morning, Nora.""

""Morning, Rowena,"" Nora said. She sat down across from the older woman. ""How are you?""

Rowena shrugged. ""I'm fine. How about yourself? You look tired.""

Nora nodded. ""Yeah, I am. But it's not like we have any choice. We're stuck here until they can fix our equipment.""

""You'll be glad to know the Company is working on it. They've sent a repair team to check out the problem.""

""That's good news, but..."" Nora trailed off. She didn't want to say what she was thinking.

""But?""

Nora sighed. ""It'll take time. It could be days before they send another ship for us.""

""Days?"" Rowena asked. Her eyes narrowed. ""What do you mean, 'days'? What's going on?""

Nora shook her head. ""I don't know. I just... I think something bad happened.""

""Something bad? What do you mean?""

""I don't know,"" Nora repeated. ""I just feel it. Something bad is coming. And when it comes, there won't be anything we can do about it.""

Rowena stared at Nora. ""Are you sure?""

Nora nodded. ""I'm sure.""

""Then let's go find out what it is.""

""Okay.""

The two women stood up from their seats and walked toward the door.

""Wait!"" Rowena called after them. ""I'll come with you.""

Nora stopped and looked back at her friend. ""Why?""

Rowena shrugged. ""Because I'm your friend. Because we need to talk.""

Nora nodded. ""All right."" She turned around and started walking again.

They left the cafeteria and headed down a long hallway toward the engineering bays. The floor was covered with grating metal, which made it difficult for Nora to walk without tripping over something.

""This is ridiculous,"" Nora said. ""We should have brought our boots.""

""You can't wear boots here,"" Rowena replied. ""It's too cold.""

Nora frowned. ""I know that. But I don't like it.""

""Well, you're not going to get any warmer if you keep complaining about it.""

",-0.2719387755102038,-0.007959183673468595,0.01612244897959192
